imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt1528854,6.3,4838,3446,11284,27357,31683,14839,6047,2833,1524,1763
tt1529231,5.3,20,7,23,53,60,75,49,37,19,21
tt1529232,5.3,4,1,11,13,22,37,9,11,5,6
tt1529233,6.7,52,69,336,768,471,151,54,22,19,17
tt1529235,6.7,369,350,1210,2752,2152,682,237,109,60,99
tt1529240,4.9,39,27,70,122,169,216,143,109,69,106
tt1529252,7.2,226,373,823,954,427,194,94,42,22,33
tt1529273,5.7,4,4,5,15,51,35,10,2,0,6
tt1529285,6.5,42,28,76,186,163,82,43,21,6,8
tt1529292,6.7,52,45,88,138,120,61,30,16,14,11
tt1529303,1.9,1,1,0,2,0,2,3,7,53,60
tt1529311,4.8,4,1,4,19,50,51,37,31,6,11
tt1529316,7.1,77,66,168,164,80,27,20,9,13,24
tt1529326,6.8,143,82,223,327,236,104,66,32,13,30
tt1529329,4.1,14,3,2,8,22,30,45,42,23,32
tt1529336,6.9,13,13,22,34,27,9,1,2,3,5
tt1529346,6.3,38,12,25,51,51,41,23,8,4,16
tt1529358,5.5,11,11,16,45,66,70,37,18,12,10
tt1529558,4.1,28,6,22,19,28,28,34,43,44,82
tt1529559,6.1,38,51,124,268,301,169,71,36,26,39
tt1529564,4.5,42,8,25,31,41,75,92,77,50,69
tt1529569,6.7,377,399,1050,2079,1762,727,245,115,49,77
tt1529572,7.0,2772,2983,8246,13698,7839,2868,1070,475,332,467
tt1529630,6.1,32,22,46,107,127,77,41,19,17,9
tt1529635,4.9,35,5,7,8,13,12,17,23,16,37
tt1530480,6.5,36,13,18,34,46,30,17,11,2,9
tt1530509,4.1,2183,837,1765,2630,3240,3824,4070,3861,4066,8504
tt1530535,8.2,309,420,562,251,79,29,6,5,5,25
tt1530660,5.2,79,32,42,27,22,48,61,45,58,72
tt1530891,4.4,2,0,2,3,22,22,18,14,13,6
tt1530975,6.1,72,34,74,127,119,78,58,36,26,44
tt1530983,6.4,381,399,1228,2256,1993,873,439,218,144,184
tt1531663,6.4,1459,1574,6311,15138,12925,5582,2131,959,530,662
tt1531697,5.8,34,4,8,9,11,16,11,10,10,17
tt1531901,6.6,2236,2363,6790,11729,9237,4241,1803,902,488,659
tt1531914,5.6,70,19,43,58,90,86,45,23,23,67
tt1531924,7.0,627,564,1810,3149,1841,642,187,104,60,127
tt1531930,5.4,51,27,51,74,102,98,70,52,38,52
tt1532261,6.1,72,12,46,79,84,60,29,24,15,38
tt1532266,5.5,13,7,14,37,32,34,27,12,8,15
tt1532348,4.6,1,7,8,22,16,8,5,2,0,39
tt1532382,6.1,176,58,166,275,301,218,102,71,52,107
tt1532503,7.3,6888,10448,22695,25145,11997,4678,2015,1074,666,1160
tt1532513,3.9,15,0,10,4,9,12,10,16,19,43
tt1532530,6.5,64,55,77,105,103,56,43,23,19,25
tt1532538,5.8,125,56,35,71,103,134,85,62,43,61
tt1532545,7.0,37,8,13,6,7,6,6,7,4,10
tt1532567,7.8,39,10,18,16,6,2,2,0,1,9
tt1532957,7.3,1081,1341,2921,3164,1379,527,236,139,99,302
tt1532958,5.6,1291,290,597,992,1393,1463,1011,569,454,923
tt1533013,6.7,364,366,976,1941,1493,605,249,111,72,102
tt1533053,6.3,343,179,326,550,549,312,132,72,66,232
tt1533058,4.7,127,50,106,251,301,426,405,280,233,241
tt1533084,4.3,212,72,139,288,447,718,844,637,503,617
tt1533085,6.2,28,20,55,83,120,56,27,15,10,13
tt1533086,6.8,48,21,89,146,113,34,21,11,5,10
tt1533087,6.6,50,28,44,48,49,37,20,13,4,18
tt1533114,6.7,80,57,142,309,236,105,45,12,12,17
tt1533117,7.7,1515,1544,2309,1818,938,418,236,112,65,129
tt1533748,7.1,789,297,394,418,298,218,112,53,63,225
tt1533749,7.1,2144,1373,3554,5534,3361,1282,477,238,137,303
tt1533784,6.6,83,5,16,25,32,30,26,13,10,19
tt1533795,6.0,14,3,9,26,46,30,20,5,2,4
tt1533813,6.3,66,58,168,310,361,200,62,41,16,28
tt1533817,4.8,254,40,88,154,239,334,355,270,166,345
tt1533818,6.8,133,184,648,1170,719,313,112,41,29,25
tt1534000,7.3,19,11,22,49,25,8,3,1,0,0
tt1534084,4.7,43,11,26,52,151,203,212,90,56,76
tt1534085,6.2,1138,966,1812,2407,2047,1433,921,617,475,710
tt1534397,7.6,160,115,227,175,91,30,22,8,9,27
tt1534564,5.5,108,43,59,83,93,111,106,70,61,87
tt1534568,6.1,52,30,72,159,145,93,46,22,27,36
tt1534786,5.7,17,6,28,89,161,105,51,20,11,14
tt1535020,7.4,145,104,202,223,105,47,23,13,7,21
tt1535098,2.5,12,0,3,4,8,20,16,28,50,135
tt1535100,4.5,21,4,8,6,11,8,25,10,9,43
tt1535101,6.7,538,298,752,1756,1502,634,264,115,52,123
tt1535102,5.3,29,2,6,15,29,34,29,19,14,15
tt1535103,6.7,44,31,75,150,113,68,26,15,5,7
tt1535104,5.6,19,5,16,24,41,41,26,12,7,13
tt1535108,6.7,17199,21017,67383,134051,103560,40653,15366,6881,3482,4249
tt1535109,7.9,41353,78181,157932,94446,26655,7361,2420,1218,830,1706
tt1535110,5.1,62,21,36,45,81,99,89,48,41,82
tt1535419,5.7,23,9,40,69,109,76,57,26,14,11
tt1535429,6.2,15,12,31,104,159,53,25,4,3,10
